model_name,target_name,equation,test_mse,improvement_vs_constant,improvement_vs_linear,low_z_mean_slope,high_z_mean_slope,derivative_at_z1,pr_increasing_low_z,pr_decreasing_low_z,pr_increasing_high_z,pr_decreasing_high_z,pr_zero_crossing,median_zero_crossing_z,pr_narrows_toward_high_z,pr_broadens_toward_high_z
Spline,mu_chieff,((((((x1 * -0.07664490920088875) - -0.5433652710454651) * square((x2 + 0.01956506028854484) * x6)) + 0.09558132682401106) * x4) * -0.6177352360428746) + 0.0673824725463091,9.795004348724594e-07,0.9996463191451892,0.99884622617153,-0.138185722744587,-0.186221766545829,-0.0374491591417514,0.2454028436018956,0.7528909952606635,0.3637130801687763,0.6362869198312237,0.8466666666666667,0.4879488462206501,,
Spline,logsigma_chieff,(((((x7 ^ x0) ^ 1.2309316449200762) * (0.3363207761598406 ^ (x0 ^ x7))) * -0.9675521212904342) + -1.4906961316753102) - (x8 * 0.7275840932549927),4.563593488870867e-05,0.9997212679995028,0.9996333236825604,2.5993547949978115,-0.7457197470599379,0.0840962224387572,0.9341232227488152,0.0658767772511848,0.3278621659634318,0.6715189873417722,0.0,,0.3866666666666666,0.6066666666666667
Linear,mu_chieff,(((abs(-0.03491442784868468 + abs(square(x2) + -0.06529645054762757)) * -0.0008704353273993533) + -0.015718497267450678) * square(x6)) + 0.03624715708422296,2.1526198263764267e-08,0.9997341413859504,0.5966753407857889,-0.0150393928357188,-0.0162977023791311,-0.0156374807946908,0.3933333333333333,0.6066666666666667,0.3933333333333333,0.6066666666666667,0.56,0.7669451342658102,,
Linear,logsigma_chieff,((((sqrt((x7 + 0.14678162462277206) + x7) + x1) + x1) * 0.022216406314029553) + -9.714943194898021) * ((x0 * -0.09779562499278983) + 0.27923322860356137),5.779527201982439e-07,0.9999980966850812,0.7148514159427459,0.947513724397748,0.958191569108899,0.9615786084807258,1.0,0.0,1.0,0.0,0.0,,0.0,1.0
