draw_index,mse_pysr,equation,sympy,mse_constant,mse_power_law,mse_linear_q,mse_quadratic_q,q_peak,has_interior_peak,monotonic_increasing,monotonic_decreasing,slope_low,slope_high,rate_q95_over_q80,rises_toward_equal_mass,peaks_then_declines_near_unity
4154,0.6651110883606022,(exp(x0) + exp(4.5323124 - exp(exp(4.0974517 - (x0 * 13.521711)) + -3.4608688))) + -91.86649,exp(x0) + exp(4.5323124 - exp(exp(4.0974517 - 13.521711*x0) - 3.4608688)) - 91.86649,1269.1866674560883,297.92572088795805,523.1717838067306,175.72495668726125,1.0,False,True,False,47.79879254462048,2.1789590322369747,1.4378319190706843,True,False
2075,3.551054489771525,-28.417042 - (exp(4.312721 - (x0 * square((x0 * 26.090786) - 3.1638577))) + (x0 * ((1.5817106 - x0) * -48.178886))),-(x0*(1.5817106 - x0)*(-48.178886) + exp(4.312721 - x0*(x0*26.090786 - 1*3.1638577)**2)) - 28.417042,1118.0106607028358,210.06091547876775,433.77785457549663,121.08485112372692,0.791683366733467,True,False,False,74.16953082831196,-8.492279890441324,0.29637601714324174,False,True
868,2.569547319681964,exp(exp(0.4367886 - square(x0 * square((x0 * 20.281733) + -2.906761))) - square(square(x0) * -7.123835)) * -19.960924,exp(-50.749025107225*x0**4 + exp(0.4367886 - 169207.747630409*x0**2*(x0 - 0.143319163110963)**4))*(-19.960924),1272.0893293335414,266.67588677653765,458.0966309324468,139.37322969750784,0.9404809619238477,True,True,False,36.44452014029207,3.914816471248357e-11,1.000000018789446,True,False
1244,1.1732729515825369,(exp(2.04498 - exp((x0 + 0.5842822) - exp((0.23563626 - x0) * 32.331123))) + -0.2065277) * -12.091365,(exp(2.04498 - exp(x0 - exp((0.23563626 - x0)*32.331123) + 0.5842822)) - 0.2065277)*(-12.091365),1286.8844931463764,286.87114967234567,482.0300652881827,164.66542335054726,1.0,False,True,False,51.28492476557062,4.606947982107641,2.273045819883218,True,False
1897,0.9880514992946658,-90.936035 + ((exp(square(exp(-59.6399 * square(x0))) * -114.84506) * (114.98693 + (x0 * -22.410671))) * sqrt(sqrt(x0))),x0**(1/4)*(114.98693 - 22.410671*x0)*exp(-114.84506*exp(-119.2798*x0**2)) - 90.936035,1183.7291958939634,234.0948929451855,434.11568744713435,138.02421288817786,1.0,False,True,False,40.9066870190029,3.708170593991298,2.0355887452558212,True,False
2210,3.1685696791730833,(exp(square(square(square(x0) * -13.987265)) * -3.3561382) * -77.352905) + ((((exp(square(square(x0)) * -106.28068) + -0.18410794) * -68.876656) * x0) - 10.001196),(exp(x0**4*(-106.28068)) - 0.18410794)*(-68.876656)*x0 + exp((38276.4112483105*x0**8)*(-3.3561382))*(-77.352905) - 1*10.001196,1233.8080494518008,241.48358750339057,412.2897295000262,130.62496340400122,1.0,False,True,False,57.311042949418606,11.284469604237785,6.700032092039156,True,False
2620,2.8346529517835024,(x0 * 7.283836) - (exp(4.4908347 - square(x0 * (3.7900758 - square(x0 * 11.59739)))) - -5.2036448),x0*7.283836 - (exp(4.4908347 - 18090.1033447521*x0**2*(0.0281791164528871 - x0**2)**2) - 1*(-5.2036448)),1336.4389795906939,325.4961429661328,530.1761638979202,192.77804250759976,1.0,False,True,False,48.4289702084543,6.48181658199789,2.981945508833927,True,False
3770,0.5036405048383781,(exp(exp(x0 - square(square(square((exp(x0 - square(square(x0 * 6.3403044))) - x0) - (x0 + 0.53888685))))) - x0) * -39.808918) + 17.902365,17.902365 + exp(-x0 + exp(x0 - (-x0 - (x0 + 0.53888685) + exp(-1615.99657501834*x0**4 + x0))**8))*(-39.808918),1160.3462983347422,211.4602828036297,385.0361888097824,123.28303874891826,1.0,False,True,False,62.66691348551217,14.549289632839674,12.079808667297677,True,False
579,3.4075150982625804,(sqrt(x0) * 28.565098) + ((exp((x0 + -0.19516243) * (square(square(x0 * -2.986988)) * (x0 * -376.21103))) * -71.51825) - 24.83294),28.565098*sqrt(x0) - 24.83294 - 71.51825*exp(-29947.8352824391*x0**5*(x0 - 0.19516243)),1266.8942488113855,266.60287315101186,446.76731422682076,148.9119813699387,1.0,False,True,False,47.07194618753056,13.473296110512536,9.898698616123008,True,False
359,4.339884337023658,(-5.06929 - (x0 * -7.0408063)) + (exp(square(square(x0 * ((x0 * 38.391224) + -7.351841))) * -2.7968378) * -88.21556),-(-7.0408063)*x0 + exp((2172340.1774609*x0**4*(x0 - 0.191497957970811)**4)*(-2.7968378))*(-88.21556) - 5.06929,1488.9147967168385,400.05425530232554,559.5570838983573,227.3155426608035,1.0,False,True,False,1.9667085167156984,6.265546756678077,2.8751977520352625,True,False
2531,0.9428577293969863,(exp(exp((sqrt(x0) * -52.422466) + 22.740417) * -9.92598) * (x0 + 90.33342)) + -90.78386,(x0 + 90.33342)*exp(-74612400900.6166*exp(-52.422466*sqrt(x0))) - 90.78386,1368.1282197147266,352.7946068739882,567.9982152815695,206.94970022584715,1.0,False,True,False,32.9111573559004,0.8898905729199242,1.1618342901636174,True,False
2181,3.8468005894916404,((exp(square(x0 * (0.16239697 - x0)) * -2540.516) * -86.4139) - (x0 * -13.799702)) + -10.666276,-(-13.799702)*x0 + exp((x0**2*(0.16239697 - x0)**2)*(-2540.516))*(-86.4139) - 10.666276,1297.7394682239396,285.37860620794453,463.8371535681564,161.80502124728432,1.0,False,True,False,76.5925138766188,12.280223943843737,7.924481872873015,True,False
3895,3.0770105133978802,(exp(x0 - exp(-26.186403 - (sqrt(x0) * -52.86069))) * -65.542145) + (-28.511877 - (sqrt(x0) * -32.025066)),32.025066*sqrt(x0) - 65.542145*exp(x0 - 4.24023255632047e-12*exp(52.86069*sqrt(x0))) - 28.511877,1308.042074553677,285.40400123638244,436.2380218104975,162.80147898874574,1.0,False,True,False,16.604633710218877,15.105258773370792,13.066748586040841,True,False
4309,4.373028943634149,(x0 * 8.895856) + (-5.3999844 - exp(exp(1.5047563 - square((x0 * 3.52253) - square(x0 * -4.7679915))))),x0*8.895856 - exp(exp(1.5047563 - (-22.7337429440723*x0**2 + x0*3.52253)**2)) - 5.3999844,1303.1092465922354,287.69004408170684,482.1389906502857,154.08736828869672,1.0,False,True,False,92.16658062243357,7.91633789281704,3.7976375568812752,True,False
1143,2.900320026978621,((sqrt(x0) * 33.47126) - exp((x0 - square(x0 * ((x0 * 55.188717) + -6.7214446))) + 4.195816)) + -29.748705,33.47126*sqrt(x0) - 66.407898319287*exp(-3045.79448410609*x0**2*(x0 - 0.121790194905238)**2 + x0) - 29.748705,1107.6245703251163,198.5227425231656,393.7362905537747,124.35658711238051,1.0,False,True,False,60.449178468973514,15.78738491189364,14.67477123063352,True,False
1589,0.4653683993494189,(x0 * 4.1922507) - exp(exp(exp(0.4098447 - exp((x0 - 0.28373992) * (exp((0.22652008 - x0) * 96.947334) - -28.839884))))),x0*4.1922507 - exp(exp(exp(0.4098447 - exp((x0 - 1*0.28373992)*(exp((0.22652008 - x0)*96.947334) - 1*(-28.839884)))))),1272.1053827184319,309.917862661832,543.5755245723316,188.3937808706646,1.0,False,True,False,39.400341879677285,3.730644141789057,1.8754296847503653,True,False
4028,1.3654451845371112,((sqrt(x0) * (85.2314 - (x0 * 25.022932))) - exp(exp(1.4181991 - square(0.28741208 - ((x0 * x0) * 26.422504))))) + -57.020336,sqrt(x0)*(85.2314 - 25.022932*x0) - exp(4.12967660486397*exp(-698.148717630016*(0.0108775489257188 - x0**2)**2)) - 57.020336,925.5991280746002,125.02104402965132,322.8499830431621,94.18222568540581,1.0,False,True,False,51.13369986138832,8.692070827185518,4.830988511434563,True,False
2786,3.618048664244078,((x0 * 5.3324137) + -3.597773) - (exp(square(x0) - exp(-16.226303 - (x0 * -64.105286))) * 87.031746),x0*5.3324137 - 87.031746*exp(x0**2 - exp(-(-64.105286)*x0 - 16.226303)) - 3.597773,1428.980786809499,379.23330076557437,574.0412548228761,221.80743573600776,1.0,False,True,False,7.976466066322246,4.745264383044017,2.2252346255953257,True,False
720,2.0395568808355207,(exp(square(0.069822095 - square(x0 * -2.188745)) * -73.477974) * -62.550095) + ((sqrt(x0) * (84.42186 - (x0 * 23.68104))) - 58.59134),sqrt(x0)*(84.42186 - 23.68104*x0) - 58.59134 - 62.550095*exp(-1686.31165235272*(0.0145747979089165 - x0**2)**2),1020.8614106399845,152.98648975408747,335.77130000905737,99.91075511421371,1.0,False,True,False,57.900671840243376,9.99995293668809,6.00395399781986,True,False
3858,0.6345061846183317,(exp((exp(exp((((x0 * x0) * -1490.4286) + 22.558794) * x0) * 0.5033928) * 0.2483577) + (x0 * -11.202936)) * -65.50654) + x0,x0 + exp(x0*(-11.202936) + exp(exp(x0*(x0*x0*(-1490.4286) + 22.558794))*0.5033928)*0.2483577)*(-65.50654),597.0936600811117,145.62825456121448,360.2878190414093,166.88968043533814,1.0,False,True,False,20.18293384816326,0.9290840076290152,1.1720524775633872,True,False
