model_name,target_name,pr_increasing_low_z,pr_decreasing_low_z,pr_increasing_high_z,pr_decreasing_high_z,pr_zero_crossing,median_zero_crossing_z,derivative_z1_median,derivative_z1_p05,derivative_z1_p95,pr_narrows_toward_high_z,pr_broadens_toward_high_z
Spline,mu_chieff,0.24540284360189568,0.7528909952606635,0.36371308016877635,0.6362869198312237,0.8466666666666667,0.4879488462206501,-0.05553178200899084,-0.492245909957325,0.29033289385329936,,
Spline,logsigma_chieff,0.9341232227488153,0.06587677725118483,0.3278621659634318,0.6715189873417722,0.0,,0.12386172600010142,-1.179042679272019,1.127528459334161,0.38666666666666666,0.6066666666666667
