model_name,mu_pub_q06,mu_pysr_q06,sigma_pub_q06,sigma_pysr_q06,dmu_pub_q06,dmu_pysr_q06,dlogsigma_pub_q06,dlogsigma_pysr_q06
Spline,0.04470548383521032,0.04312437509787386,0.06348808387145337,0.0639361446014503,-0.8072260558038953,-0.727420720968654,-2.2394556519110744,-2.002331587438477
Linear,0.06952304714177591,0.0697842326286376,0.11764031146934599,0.11768161901737105,-0.16592634592533362,-0.17100364965829473,-1.8307853426046878,-1.921532973291716
