model_name,target_name,equation,complexity,train_mse,test_mse,constant_test_mse,linear_test_mse,improvement_vs_constant,improvement_vs_linear
Linear,mu_chieff_median,(((abs(-0.03491442784868468 + abs(square(x2) + -0.06529645054762757)) * -0.0008704353273993533) + -0.015718497267450678) * square(x6)) + 0.03624715708422296,17.0,1.2012065949131638e-08,2.1526198263764267e-08,8.096859430603292e-05,5.337188731703958e-08,0.9997341413859503,0.5966753407857889
Linear,logsigma_chieff_median,((((sqrt((x7 + 0.14678162462277206) + x7) + x1) + x1) * 0.022216406314029553) + -9.714943194898021) * ((x0 * -0.09779562499278983) + 0.27923322860356137),20.0,5.109471645200624e-07,5.779527201982439e-07,0.3036558556446652,2.026847589333281e-06,0.9999980966850813,0.7148514159427459
